crate, total_fns, total_loc, audited_loc, total_caller_checked, total_avg_call_stack, total_sinks, total_pub_fns, pub_fns_cc
bytes-1.4.0, 74, 1967, 1093, 41/141, 3.1463416, 0, 153, 5
cfg-if-1.0.0, 0, 0, 0, 0/0, 0, 0, 0, 0
fnv-1.0.7, 0, 15, 0, 0/0, 0, 0, 1, 0
futures-channel-0.3.28, 20, 1051, 256, 6/21, 9.5, 0, 38, 3
futures-core-0.3.28, 2, 157, 121, 0/4, 0, 0, 5, 0
futures-task-0.3.28, 19, 124, 64, 23/23, 2.3043478, 0, 14, 6
futures-util-0.3.28, 75, 6209, 0, 241/241, 1, 0, 310, 18
http-0.2.9, 32, 3653, 598, 5/44, 2.6, 0, 193, 0
http-body-0.4.5, 4, 308, 20, 0/8, 0, 0, 29, 0
httparse-1.8.0, 38, 982, 566, 123/123, 2.4796748, 0, 39, 14
httpdate-1.0.2, 1, 358, 2, 0/1, 0, 0, 2, 0
hyper-0.14.27, 142, 9648, 3008, 23/195, 6.0869565, 59, 267, 10
itoa-1.0.6, 0, 41, 0, 0/0, 0, 0, 3, 0
libc-0.2.146, 68, 7999, 0, 140/140, 1, 0, 5958, 65
memchr-2.5.0, 63, 3483, 349, 0/874, 0, 0, 86, 0
num_cpus-1.15.0, 6, 246, 111, 4/16, 1, 0, 4, 0
once_cell-1.18.0, 31, 622, 234, 2/52, 3, 0, 54, 1
pin-project-lite-0.2.9, 2, 12, 8, 3/3, 1, 0, 2, 0
pin-utils-0.1.0, 0, 0, 0, 0/0, 0, 0, 0, 0
proc-macro2-1.0.60, 8, 2051, 16, 1/13, 1, 0, 127, 1
quote-1.0.28, 1, 299, 3, 0/1, 0, 0, 23, 0
syn-2.0.18, 172, 22534, 3901, 4/338, 11.5, 0, 1285, 0
tokio-1.28.2, 1314, 23337, 11448, 2032/2032, 19.497047, 0, 803, 463
tokio-macros-2.1.0, 5, 588, 185, 0/6, 0, 0, 8, 0
tower-service-0.3.2, 0, 8, 0, 0/0, 0, 0, 0, 0
tracing-0.1.37, 5, 441, 10, 0/5, 0, 0, 48, 0
tracing-core-0.1.31, 19, 1374, 133, 4/21, 5.75, 0, 134, 3
try-lock-0.2.4, 5, 79, 29, 2/5, 1, 0, 6, 2
unicode-ident-1.0.9, 2, 14, 14, 0/2, 0, 0, 2, 0
want-0.3.1, 2, 150, 70, 0/2, 0, 2, 11, 0
