crate, effects
winapi, 6529
libc, 5953
tokio, 2004
memchr, 874
socket2, 536
hashbrown, 481
mio, 479
cc, 345
aho-corasick, 336
parking_lot_core, 311
ppv-lite86, 253
lock_api, 195
ryu, 186
bytes, 141
hyper, 130
getrandom, 127
httparse, 123
crossbeam-epoch, 119
crossbeam-deque, 114
smallvec, 111
arrayvec, 107
crossbeam-channel, 98
nom, 94
generic-array, 93
byteorder, 92
serde_json, 91
anyhow, 77
tokio-util, 73
chrono, 68
h2, 58
once_cell, 53
parking_lot, 50
indexmap, 47
pkg-config, 45
http, 43
time, 42
semver, 42
thread_local, 42
autocfg, 40
toml, 40
termcolor, 33
serde_derive, 31
crossbeam-utils, 29
unicode-normalization, 26
base64, 25
url, 23
futures-task, 23
serde, 21
futures-channel, 21
log, 19
num-traits, 19
regex, 19
rand, 16
num_cpus, 16
proc-macro2, 13
either, 10
thiserror-impl, 10
version_check, 9
block-buffer, 9
env_logger, 9
unicode-bidi, 9
rustc_version, 7
heck, 7
slab, 6
rand_core, 5
itertools, 5
scopeguard, 4
futures-core, 4
regex-syntax, 3
pin-project-lite, 3
unicode-segmentation, 3
vec_map, 3
lazy_static, 2
percent-encoding, 2
ansi_term, 2
thiserror, 2
quote, 1
atty, 1
